State,Year,Type,GEO.id2,GEO.display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey 
Ohio,2022,Sub_County,3900756700,"North Kingsville village, Ashtabula County, Ohio",1145,106,286,753,5-Year
Ohio,2022,Sub_County,3900758870,"Orwell township, Ashtabula County, Ohio",1161,239,406,516,5-Year
Ohio,2022,Sub_County,3900762568,"Pierpont township, Ashtabula County, Ohio",420,38,230,152,5-Year
Ohio,2022,Sub_County,3900763772,"Plymouth township, Ashtabula County, Ohio",771,86,166,519,5-Year
Ohio,2022,Sub_County,3900766796,"Richmond township, Ashtabula County, Ohio",398,11,144,243,5-Year
Ohio,2022,Sub_County,3900768224,"Rome township, Ashtabula County, Ohio",724,59,152,513,5-Year
Ohio,2022,Sub_County,3900770646,"Saybrook township, Ashtabula County, Ohio",4202,570,1165,2467,5-Year
Ohio,2022,Sub_County,3900772053,"Sheffield township, Ashtabula County, Ohio",599,7,200,392,5-Year
Ohio,2022,Sub_County,3900777686,"Trumbull township, Ashtabula County, Ohio",583,59,146,378,5-Year
Ohio,2022,Sub_County,3900782040,"Wayne township, Ashtabula County, Ohio",207,7,54,146,5-Year
Ohio,2022,Sub_County,3900785372,"Williamsfield township, Ashtabula County, Ohio",517,115,122,280,5-Year
Ohio,2022,Sub_County,3900785988,"Windsor township, Ashtabula County, Ohio",517,40,153,324,5-Year
Ohio,2022,Sub_County,3900901112,"Alexander township, Athens County, Ohio",1227,172,368,687,5-Year
Ohio,2022,Sub_County,3900901770,"Ames township, Athens County, Ohio",531,12,233,286,5-Year
Ohio,2022,Sub_County,3900902750,"Athens township, Athens County, Ohio",9502,3078,2467,3957,5-Year
Ohio,2022,Sub_County,3900905942,"Bern township, Athens County, Ohio",217,33,71,113,5-Year
Ohio,2022,Sub_County,3900911220,"Canaan township, Athens County, Ohio",984,263,304,417,5-Year
Ohio,2022,Sub_County,3900912336,"Carthage township, Athens County, Ohio",612,81,254,277,5-Year
Ohio,2022,Sub_County,3900922414,"Dover township, Athens County, Ohio",1747,377,576,794,5-Year
Ohio,2022,Sub_County,3900942420,"Lee township, Athens County, Ohio",1078,164,217,697,5-Year
Ohio,2022,Sub_County,3900944590,"Lodi township, Athens County, Ohio",430,84,103,243,5-Year
Ohio,2022,Sub_County,3900968238,"Rome township, Athens County, Ohio",589,30,267,292,5-Year
Ohio,2022,Sub_County,3900977420,"Trimble township, Athens County, Ohio",1580,370,582,628,5-Year
Ohio,2022,Sub_County,3900977546,"Troy township, Athens County, Ohio",1053,147,364,542,5-Year
Ohio,2022,Sub_County,3900981777,"Waterloo township, Athens County, Ohio",654,93,319,242,5-Year
Ohio,2022,Sub_County,3900986982,"York township, Athens County, Ohio",2378,693,775,910,5-Year
Ohio,2022,Sub_County,3901115448,"Clay township, Auglaize County, Ohio",269,0,30,239,5-Year
Ohio,2022,Sub_County,3901122722,"Duchouquet township, Auglaize County, Ohio",6312,707,1435,4170,5-Year
Ohio,2022,Sub_County,3901129848,"German township, Auglaize County, Ohio",1498,85,268,1145,5-Year
Ohio,2022,Sub_County,3901130954,"Goshen township, Auglaize County, Ohio",199,0,3,196,5-Year
Ohio,2022,Sub_County,3901137674,"Jackson township, Auglaize County, Ohio",1373,55,192,1126,5-Year
Ohio,2022,Sub_County,3901144618,"Logan township, Auglaize County, Ohio",411,27,92,292,5-Year
Ohio,2022,Sub_County,3901152472,"Moulton township, Auglaize County, Ohio",695,17,121,557,5-Year
Ohio,2022,Sub_County,3901155986,"Noble township, Auglaize County, Ohio",680,0,104,576,5-Year
Ohio,2022,Sub_County,3901165018,"Pusheta township, Auglaize County, Ohio",455,31,72,352,5-Year
Ohio,2022,Sub_County,3901169694,"St. Marys township, Auglaize County, Ohio",4840,375,1363,3102,5-Year
Ohio,2022,Sub_County,3901169806,"Salem township, Auglaize County, Ohio",137,0,27,110,5-Year
Ohio,2022,Sub_County,3901178204,"Union township, Auglaize County, Ohio",714,6,165,543,5-Year
Ohio,2022,Sub_County,3901181074,"Washington township, Auglaize County, Ohio",752,39,129,584,5-Year
Ohio,2022,Sub_County,3901182054,"Wayne township, Auglaize County, Ohio",523,35,136,352,5-Year
Ohio,2022,Sub_County,3901316602,"Colerain township, Belmont County, Ohio",1737,138,442,1157,5-Year
Ohio,2022,Sub_County,3901327566,"Flushing township, Belmont County, Ohio",765,165,184,416,5-Year
Ohio,2022,Sub_County,3901330968,"Goshen township, Belmont County, Ohio",1202,134,419,649,5-Year
Ohio,2022,Sub_County,3901340600,"Kirkwood township, Belmont County, Ohio",137,22,72,43,5-Year
Ohio,2022,Sub_County,3901348580,"Mead township, Belmont County, Ohio",2281,274,667,1340,5-Year
Ohio,2022,Sub_County,3901361378,"Pease township, Belmont County, Ohio",5679,1149,1751,2779,5-Year
Ohio,2022,Sub_County,3901364962,"Pultney township, Belmont County, Ohio",3274,491,1235,1548,5-Year
Ohio,2022,Sub_County,3901366628,"Richland township, Belmont County, Ohio",4956,290,1268,3398,5-Year
Ohio,2022,Sub_County,3901372736,"Smith township, Belmont County, Ohio",540,71,96,373,5-Year
Ohio,2022,Sub_County,3901372970,"Somerset township, Belmont County, Ohio",291,12,27,252,5-Year
Ohio,2022,Sub_County,3901378218,"Union township, Belmont County, Ohio",827,26,239,562,5-Year
Ohio,2022,Sub_County,3901380864,"Warren township, Belmont County, Ohio",2176,370,462,1344,5-Year
Ohio,2022,Sub_County,3901381088,"Washington township, Belmont County, Ohio",218,0,108,110,5-Year
Ohio,2022,Sub_County,3901382068,"Wayne township, Belmont County, Ohio",296,115,81,100,5-Year
Ohio,2022,Sub_County,3901384602,"Wheeling township, Belmont County, Ohio",631,109,179,343,5-Year
Ohio,2022,Sub_County,3901386996,"York township, Belmont County, Ohio",964,192,258,514,5-Year
Ohio,2022,Sub_County,3901510758,"Byrd township, Brown County, Ohio",282,62,53,167,5-Year
Ohio,2022,Sub_County,3901515224,"Clark township, Brown County, Ohio",1066,64,194,808,5-Year
Ohio,2022,Sub_County,3901523072,"Eagle township, Brown County, Ohio",591,116,91,384,5-Year
Ohio,2022,Sub_County,3901528210,"Franklin township, Brown County, Ohio",493,29,107,357,5-Year
Ohio,2022,Sub_County,3901531696,"Green township, Brown County, Ohio",1275,266,330,679,5-Year
Ohio,2022,Sub_County,3901536834,"Huntington township, Brown County, Ohio",990,285,244,461,5-Year
Ohio,2022,Sub_County,3901537688,"Jackson township, Brown County, Ohio",566,14,69,483,5-Year
Ohio,2022,Sub_County,3901538528,"Jefferson township, Brown County, Ohio",634,64,134,436,5-Year
Ohio,2022,Sub_County,3901542910,"Lewis township, Brown County, Ohio",877,153,165,559,5-Year
Ohio,2022,Sub_County,3901561770,"Perry township, Brown County, Ohio",1750,104,371,1275,5-Year
Ohio,2022,Sub_County,3901562596,"Pike township, Brown County, Ohio",1727,363,325,1039,5-Year
Ohio,2022,Sub_County,3901563212,"Pleasant township, Brown County, Ohio",2428,689,579,1160,5-Year
Ohio,2022,Sub_County,3901571066,"Scott township, Brown County, Ohio",577,38,227,312,5-Year
Ohio,2022,Sub_County,3901574559,"Sterling township, Brown County, Ohio",1759,115,538,1106,5-Year
Ohio,2022,Sub_County,3901578232,"Union township, Brown County, Ohio",1094,207,361,526,5-Year
Ohio,2022,Sub_County,3901581102,"Washington township, Brown County, Ohio",849,219,149,481,5-Year
Ohio,2022,Sub_County,3901725970,"Fairfield city, Butler County, Ohio",18383,1412,6674,10297,5-Year
Ohio,2022,Sub_County,3901725984,"Fairfield township, Butler County, Ohio",8266,463,1797,6006,5-Year
Ohio,2022,Sub_County,3901733012,"Hamilton city, Butler County, Ohio",24700,4186,9514,11000,5-Year
Ohio,2022,Sub_County,3901733250,"Hanover township, Butler County, Ohio",3071,97,769,2205,5-Year
Ohio,2022,Sub_County,3901742672,"Lemon township, Butler County, Ohio",5903,334,1137,4432,5-Year
Ohio,2022,Sub_County,3901743050,"Liberty township, Butler County, Ohio",14549,471,1361,12717,5-Year
Ohio,2022,Sub_County,3901746340,"Madison township, Butler County, Ohio",3184,342,736,2106,5-Year
Ohio,2022,Sub_County,3901749840,"Middletown city, Butler County, Ohio",19533,3608,7695,8230,5-Year
Ohio,2022,Sub_County,3901750162,"Milford township, Butler County, Ohio",1250,129,293,828,5-Year
Ohio,2022,Sub_County,3901752080,"Morgan township, Butler County, Ohio",1769,59,296,1414,5-Year
Ohio,2022,Sub_County,3901759241,"Oxford township, Butler County, Ohio",6907,2579,1369,2959,5-Year
Ohio,2022,Sub_County,3901766096,"Reily township, Butler County, Ohio",1112,97,340,675,5-Year
Ohio,2022,Sub_County,3901768616,"Ross township, Butler County, Ohio",2904,215,667,2022,5-Year
Ohio,2022,Sub_County,3901769498,"St. Clair township, Butler County, Ohio",2362,277,867,1218,5-Year
Ohio,2022,Sub_County,3901777322,"Trenton city, Butler County, Ohio",4418,169,1058,3191,5-Year
Ohio,2022,Sub_County,3901782082,"Wayne township, Butler County, Ohio",1780,122,540,1118,5-Year
Ohio,2022,Sub_County,3901783150,"West Chester township, Butler County, Ohio",24445,1608,4636,18201,5-Year
